score,total_seconds,num_ghosts,option1,option2,option3,option4
9,10.229899,4,96,82,68,68,
21,18.964869,4,197,202,185,161
16,33.99458,4,354,358,187,200
8,2.574257,4,17,21,13,28
11,10.137715,4,69,77,99,82
9,8.905197,4,98,90,77,77,
5,2.26911,4,15,11,22,16
17,28.034264,4,232,216,252,238
8,6.054584,4,70,72,19,19,
7,4.653044,4,39,34,34,26
16,9.261111,4,74,90,69,55
3,4.025483,4,67,61,5,5,
13,7.853933,4,68,66,66,42
34,46.97481,4,362,386,435,440
7,5.885219,4,68,72,20,19
15,9.191222,4,112,119,39,23
15,16.582865,4,141,113,138,122
